Foot,Phase,Slope,Intervention,Max Flexion,Max Abduction,Max Adduction,Max Internal Rotation,Max External Rotation,,,,,,,,,,,,,
Left,P3,0,4,123.70,1.18,N/A,N/A,-6.20,,,,,,,,,,,,,
Left,P3,0,4,124.92,1.90,N/A,N/A,-7.52,,,,,,,,,,,,,
Left,P3,0,4,124.38,0.01,-0.80,N/A,-8.26,,,,,,,,,,,,,
Left,P3,0,4,123.96,1.05,N/A,N/A,-7.28,,,,,,,,,,,,,
Left,P3,15,1,142.15,N/A,-4.89,2.95,N/A,,,,,,,,,,,,,
Left,P3,15,1,135.15,N/A,-7.90,3.27,N/A,,,,,,,,,,,,,
Left,P3,15,1,139.27,0.37,-0.33,N/A,-9.70,,,,,,,,,,,,,
Left,P3,15,1,138.18,1.62,N/A,N/A,-9.69,,,,,,,,,,,,,
Left,P3,15,1,138.63,N/A,-3.12,1.42,N/A,,,,,,,,,,,,,
Left,P3,15,1,128.02,8.90,N/A,N/A,-4.53,,,,,,,,,,,,,
Left,P3,15,1,127.75,9.08,N/A,N/A,-6.67,,,,,,,,,,,,,
Left,P3,15,1,127.86,9.55,N/A,N/A,-6.49,,,,,,,,,,,,,
Left,P3,15,1,129.44,8.86,N/A,N/A,-3.89,,,,,,,,,,,,,
Left,P3,15,1,129.96,11.00,N/A,N/A,-5.90,,,,,,,,,,,,,
Left,P3,15,1,124.53,N/A,-2.22,N/A,-13.60,,,,,,,,,,,,,
Left,P3,15,1,124.46,N/A,-2.07,N/A,-8.78,,,,,,,,,,,,,
Left,P3,15,1,123.36,N/A,-3.09,N/A,-10.31,,,,,,,,,,,,,
Left,P3,15,1,120.90,N/A,-4.31,N/A,-11.83,,,,,,,,,,,,,
Left,P3,15,1,121.29,N/A,-4.66,N/A,-10.04,,,,,,,,,,,,,
Left,P3,15,1,149.65,8.12,N/A,N/A,-13.76,,,,,,,,,,,,,
Left,P3,15,1,149.50,8.52,N/A,N/A,-16.60,,,,,,,,,,,,,
Left,P3,15,1,149.46,8.12,N/A,N/A,-15.58,,,,,,,,,,,,,
Left,P3,15,1,150.32,8.57,N/A,N/A,-15.42,,,,,,,,,,,,,
Left,P3,15,1,149.70,8.60,N/A,N/A,-14.55,,,,,,,,,,,,,
Left,P3,15,1,102.08,20.00,N/A,5.01,N/A,,,,,,,,,,,,,
Left,P3,15,1,100.56,18.33,N/A,4.99,N/A,,,,,,,,,,,,,
Left,P3,15,1,102.72,19.01,N/A,4.01,N/A,,,,,,,,,,,,,
Left,P3,15,1,101.29,20.68,N/A,7.47,N/A,,,,,,,,,,,,,
Left,P3,15,1,102.39,19.78,N/A,8.43,N/A,,,,,,,,,,,,,
Left,P3,15,1,132.79,N/A,-4.01,7.64,N/A,,,,,,,,,,,,,
Left,P3,15,1,147.20,0.03,-2.57,19.57,N/A,,,,,,,,,,,,,
Left,P3,15,1,148.13,0.53,-1.62,19.98,N/A,,,,,,,,,,,,,
Left,P3,15,1,143.48,N/A,-3.22,14.42,N/A,,,,,,,,,,,,,
Left,P3,15,1,121.37,N/A,-3.26,0.89,-1.17,,,,,,,,,,,,,
Left,P3,15,1,106.10,N/A,-3.88,3.26,N/A,,,,,,,,,,,,,
Left,P3,15,1,109.92,N/A,-2.18,3.09,N/A,,,,,,,,,,,,,
Left,P3,15,1,109.82,N/A,-1.69,2.01,N/A,,,,,,,,,,,,,
Left,P3,15,1,105.91,N/A,-1.29,4.42,N/A,,,,,,,,,,,,,
Left,P3,15,1,102.39,N/A,-2.41,3.41,N/A,,,,,,,,,,,,,
Left,P3,15,1,136.39,N/A,-0.83,8.48,N/A,,,,,,,,,,,,,
Left,P3,15,1,139.20,N/A,-1.58,12.18,N/A,,,,,,,,,,,,,
Left,P3,15,1,139.46,0.20,-0.50,8.93,N/A,,,,,,,,,,,,,
Left,P3,15,1,138.97,0.77,N/A,10.14,N/A,,,,,,,,,,,,,
Left,P3,15,1,140.41,1.35,N/A,11.59,N/A,,,,,,,,,,,,,
Left,P3,15,1,133.13,N/A,-2.86,12.32,N/A,,,,,,,,,,,,,
Left,P3,15,1,127.35,N/A,-2.48,11.77,N/A,,,,,,,,,,,,,
Left,P3,15,1,131.90,N/A,-1.91,12.83,N/A,,,,,,,,,,,,,
Left,P3,15,1,133.53,N/A,-3.09,15.39,N/A,,,,,,,,,,,,,
Left,P3,15,1,133.73,N/A,-3.15,14.75,N/A,,,,,,,,,,,,,
Left,P3,15,2,135.65,N/A,-3.42,N/A,-6.94,,,,,,,,,,,,,
Left,P3,15,2,126.76,N/A,-4.24,5.37,N/A,,,,,,,,,,,,,
Left,P3,15,2,127.92,N/A,-5.29,2.23,-1.96,,,,,,,,,,,,,
Left,P3,15,2,137.80,N/A,-2.37,1.94,-2.41,,,,,,,,,,,,,
Left,P3,15,2,138.99,N/A,-5.47,2.63,-0.07,,,,,,,,,,,,,
Left,P3,15,2,125.25,9.00,N/A,N/A,-5.85,,,,,,,,,,,,,
Left,P3,15,2,123.11,8.68,N/A,N/A,-3.84,,,,,,,,,,,,,
Left,P3,15,2,116.94,7.93,N/A,N/A,-3.98,,,,,,,,,,,,,
Left,P3,15,2,121.06,7.50,N/A,N/A,-2.49,,,,,,,,,,,,,
Left,P3,15,2,118.95,7.80,N/A,N/A,-7.01,,,,,,,,,,,,,
Left,P3,15,2,131.42,N/A,-3.37,N/A,-11.95,,,,,,,,,,,,,
Left,P3,15,2,117.96,1.13,-1.96,N/A,-18.10,,,,,,,,,,,,,
Left,P3,15,2,109.45,2.16,-0.58,N/A,-15.69,,,,,,,,,,,,,
Left,P3,15,2,113.69,0.66,-1.46,N/A,-15.18,,,,,,,,,,,,,
Left,P3,15,2,117.41,0.52,-2.43,N/A,-12.86,,,,,,,,,,,,,
Left,P3,15,2,122.71,8.34,N/A,N/A,-19.67,,,,,,,,,,,,,
Left,P3,15,2,123.53,6.93,N/A,N/A,-18.79,,,,,,,,,,,,,
Left,P3,15,2,133.38,9.82,N/A,N/A,-19.80,,,,,,,,,,,,,
Left,P3,15,2,119.36,6.61,N/A,N/A,-15.91,,,,,,,,,,,,,
Left,P3,15,2,120.27,7.73,N/A,N/A,-14.67,,,,,,,,,,,,,
Left,P3,15,2,96.08,10.19,N/A,N/A,-2.26,,,,,,,,,,,,,
Left,P3,15,2,91.86,9.77,N/A,3.45,N/A,,,,,,,,,,,,,
Left,P3,15,2,93.42,8.86,N/A,5.36,N/A,,,,,,,,,,,,,
Left,P3,15,2,99.63,9.88,N/A,7.35,N/A,,,,,,,,,,,,,
Left,P3,15,2,98.26,9.54,N/A,3.00,N/A,,,,,,,,,,,,,
Left,P3,15,2,137.70,N/A,-8.40,9.52,N/A,,,,,,,,,,,,,
Left,P3,15,2,135.01,N/A,-13.18,11.03,N/A,,,,,,,,,,,,,
Left,P3,15,2,134.83,N/A,-9.66,10.45,N/A,,,,,,,,,,,,,
Left,P3,15,2,135.53,N/A,-10.36,11.05,N/A,,,,,,,,,,,,,
Left,P3,15,2,137.68,N/A,-12.84,9.88,N/A,,,,,,,,,,,,,
Left,P3,15,2,104.40,N/A,-4.12,N/A,-11.77,,,,,,,,,,,,,
Left,P3,15,2,100.22,N/A,-3.66,N/A,-14.92,,,,,,,,,,,,,
Left,P3,15,2,100.45,N/A,-4.39,N/A,-16.55,,,,,,,,,,,,,
Left,P3,15,2,93.61,N/A,-7.97,N/A,-19.34,,,,,,,,,,,,,
Left,P3,15,2,105.27,N/A,-9.42,N/A,-12.50,,,,,,,,,,,,,
Left,P3,15,2,121.16,N/A,-1.70,1.77,-1.49,,,,,,,,,,,,,
Left,P3,15,2,123.14,N/A,-2.24,N/A,-2.74,,,,,,,,,,,,,
Left,P3,15,2,126.46,N/A,-2.96,6.88,N/A,,,,,,,,,,,,,
Left,P3,15,2,128.85,N/A,-2.04,4.82,N/A,,,,,,,,,,,,,
Left,P3,15,2,131.97,N/A,-1.24,4.97,N/A,,,,,,,,,,,,,
Left,P3,15,2,114.37,0.88,N/A,N/A,-4.59,,,,,,,,,,,,,
Left,P3,15,2,106.84,1.25,N/A,N/A,-8.29,,,,,,,,,,,,,
Left,P3,15,2,107.05,2.99,N/A,N/A,-7.36,,,,,,,,,,,,,
Left,P3,15,2,110.64,1.63,N/A,N/A,-7.24,,,,,,,,,,,,,
Left,P3,15,2,115.09,2.06,N/A,N/A,-5.12,,,,,,,,,,,,,
Left,P3,15,3,117.67,3.86,N/A,N/A,-17.61,,,,,,,,,,,,,
Left,P3,15,3,105.88,N/A,-1.36,N/A,-15.16,,,,,,,,,,,,,
Left,P3,15,3,112.34,1.97,N/A,N/A,-10.82,,,,,,,,,,,,,
Left,P3,15,3,121.68,1.27,N/A,N/A,-15.45,,,,,,,,,,,,,
Left,P3,15,3,117.55,0.71,-2.48,N/A,-13.72,,,,,,,,,,,,,
Left,P3,15,3,111.28,6.54,N/A,N/A,-8.15,,,,,,,,,,,,,
Left,P3,15,3,114.16,7.21,N/A,N/A,-7.62,,,,,,,,,,,,,
Left,P3,15,3,112.59,5.33,N/A,N/A,-7.31,,,,,,,,,,,,,
Left,P3,15,3,112.41,7.83,N/A,N/A,-10.42,,,,,,,,,,,,,
Left,P3,15,3,111.27,6.67,N/A,N/A,-5.86,,,,,,,,,,,,,
Left,P3,15,3,126.47,0.67,-5.12,N/A,-10.73,,,,,,,,,,,,,
Left,P3,15,3,116.83,0.98,-1.46,N/A,-13.70,,,,,,,,,,,,,
Left,P3,15,3,112.25,0.88,-2.91,N/A,-16.14,,,,,,,,,,,,,
Left,P3,15,3,112.52,0.46,-1.04,N/A,-14.45,,,,,,,,,,,,,
Left,P3,15,3,112.60,2.59,-0.55,N/A,-15.69,,,,,,,,,,,,,
Left,P3,15,3,115.05,13.81,N/A,N/A,-14.65,,,,,,,,,,,,,
Left,P3,15,3,140.12,4.71,N/A,N/A,-14.81,,,,,,,,,,,,,
Left,P3,15,3,117.66,7.31,N/A,N/A,-17.42,,,,,,,,,,,,,
Left,P3,15,3,119.16,7.00,N/A,N/A,-14.96,,,,,,,,,,,,,
Left,P3,15,3,120.44,7.66,N/A,N/A,-12.91,,,,,,,,,,,,,
Left,P3,15,3,98.51,12.89,N/A,4.59,N/A,,,,,,,,,,,,,
Left,P3,15,3,93.88,12.61,N/A,5.16,N/A,,,,,,,,,,,,,
Left,P3,15,3,95.41,12.14,N/A,5.98,N/A,,,,,,,,,,,,,
Left,P3,15,3,100.71,15.96,N/A,1.77,-2.84,,,,,,,,,,,,,
Left,P3,15,3,93.89,12.34,N/A,3.89,N/A,,,,,,,,,,,,,
Left,P3,15,3,120.49,N/A,-8.04,4.06,N/A,,,,,,,,,,,,,
Left,P3,15,3,118.70,N/A,-6.41,4.06,N/A,,,,,,,,,,,,,
Left,P3,15,3,118.66,N/A,-4.07,5.15,N/A,,,,,,,,,,,,,
Left,P3,15,3,118.81,N/A,-5.51,1.50,N/A,,,,,,,,,,,,,
Left,P3,15,3,122.01,N/A,-8.89,3.29,N/A,,,,,,,,,,,,,
Left,P3,15,3,98.96,N/A,-6.04,N/A,-16.73,,,,,,,,,,,,,
Left,P3,15,3,91.68,N/A,-7.64,N/A,-19.10,,,,,,,,,,,,,
Left,P3,15,3,98.86,N/A,-11.25,N/A,-17.22,,,,,,,,,,,,,
Left,P3,15,3,98.87,N/A,-16.70,N/A,-18.52,,,,,,,,,,,,,
Left,P3,15,3,106.14,N/A,-11.45,N/A,-10.24,,,,,,,,,,,,,
Left,P3,15,3,123.29,2.15,N/A,3.96,N/A,,,,,,,,,,,,,
Left,P3,15,3,128.20,0.32,-0.65,7.55,N/A,,,,,,,,,,,,,
Left,P3,15,3,132.16,N/A,-1.50,8.45,N/A,,,,,,,,,,,,,
Left,P3,15,3,131.72,N/A,-2.50,7.69,N/A,,,,,,,,,,,,,
Left,P3,15,3,133.40,N/A,-1.56,8.03,N/A,,,,,,,,,,,,,
Left,P3,15,3,114.89,4.18,N/A,2.86,N/A,,,,,,,,,,,,,
Left,P3,15,3,112.37,4.62,N/A,1.80,N/A,,,,,,,,,,,,,
Left,P3,15,3,112.46,4.48,N/A,3.11,N/A,,,,,,,,,,,,,
Left,P3,15,3,105.19,4.77,N/A,0.96,-0.14,,,,,,,,,,,,,
Left,P3,15,3,106.83,5.88,N/A,0.80,N/A,,,,,,,,,,,,,
Left,P3,15,4,141.17,N/A,-2.55,N/A,-7.99,,,,,,,,,,,,,
Left,P3,15,4,142.45,N/A,-2.97,N/A,-9.91,,,,,,,,,,,,,
Left,P3,15,4,143.06,N/A,-3.19,N/A,-11.99,,,,,,,,,,,,,
Left,P3,15,4,139.68,1.39,N/A,N/A,-13.12,,,,,,,,,,,,,
Left,P3,15,4,145.04,N/A,-6.24,N/A,-3.00,,,,,,,,,,,,,
Left,P3,15,4,121.81,10.29,N/A,N/A,-3.46,,,,,,,,,,,,,
Left,P3,15,4,119.63,12.36,N/A,N/A,-2.90,,,,,,,,,,,,,
Left,P3,15,4,122.85,10.17,N/A,N/A,-3.93,,,,,,,,,,,,,
Left,P3,15,4,122.61,11.22,N/A,N/A,-5.58,,,,,,,,,,,,,
Left,P3,15,4,120.07,9.09,N/A,N/A,-5.75,,,,,,,,,,,,,
Left,P3,15,4,123.23,N/A,-3.13,N/A,-11.63,,,,,,,,,,,,,
Left,P3,15,4,128.18,N/A,-4.99,N/A,-13.00,,,,,,,,,,,,,
Left,P3,15,4,121.85,N/A,-5.53,N/A,-12.69,,,,,,,,,,,,,
Left,P3,15,4,121.26,N/A,-5.25,N/A,-13.23,,,,,,,,,,,,,
Left,P3,15,4,119.59,N/A,-5.18,N/A,-10.80,,,,,,,,,,,,,
Left,P3,15,4,150.05,10.06,N/A,N/A,-17.58,,,,,,,,,,,,,
Left,P3,15,4,148.32,11.81,N/A,N/A,-22.70,,,,,,,,,,,,,
Left,P3,15,4,148.54,10.96,N/A,N/A,-22.18,,,,,,,,,,,,,
Left,P3,15,4,148.85,10.88,N/A,N/A,-20.71,,,,,,,,,,,,,
Left,P3,15,4,148.05,11.66,N/A,N/A,-23.38,,,,,,,,,,,,,
Left,P3,15,4,111.05,18.38,N/A,4.47,N/A,,,,,,,,,,,,,
Left,P3,15,4,99.12,13.37,N/A,8.27,N/A,,,,,,,,,,,,,
Left,P3,15,4,109.41,13.38,N/A,8.98,N/A,,,,,,,,,,,,,
Left,P3,15,4,104.73,18.46,N/A,5.66,N/A,,,,,,,,,,,,,
Left,P3,15,4,102.04,18.01,N/A,5.69,N/A,,,,,,,,,,,,,
Left,P3,15,4,139.29,N/A,-6.32,12.08,N/A,,,,,,,,,,,,,
Left,P3,15,4,138.68,N/A,-3.81,11.04,N/A,,,,,,,,,,,,,
Left,P3,15,4,138.50,N/A,-6.09,12.22,N/A,,,,,,,,,,,,,
Left,P3,15,4,136.44,N/A,-3.79,9.02,N/A,,,,,,,,,,,,,
Left,P3,15,4,137.46,N/A,-3.17,12.42,N/A,,,,,,,,,,,,,
Left,P3,15,4,106.32,1.47,N/A,1.90,N/A,,,,,,,,,,,,,
Left,P3,15,4,110.19,3.68,N/A,3.31,N/A,,,,,,,,,,,,,
Left,P3,15,4,123.40,N/A,-0.60,6.36,N/A,,,,,,,,,,,,,
Left,P3,15,4,110.70,N/A,-1.87,N/A,-4.31,,,,,,,,,,,,,
Left,P3,15,4,106.77,N/A,-3.17,N/A,-4.22,,,,,,,,,,,,,
Left,P3,15,4,133.54,2.68,N/A,N/A,-1.66,,,,,,,,,,,,,
Left,P3,15,4,133.60,1.95,N/A,0.54,N/A,,,,,,,,,,,,,
Left,P3,15,4,132.90,3.28,N/A,1.59,N/A,,,,,,,,,,,,,
Left,P3,15,4,134.92,2.10,N/A,4.60,N/A,,,,,,,,,,,,,
Left,P3,15,4,133.97,2.36,N/A,4.36,N/A,,,,,,,,,,,,,
Left,P3,15,4,128.54,2.35,N/A,6.38,N/A,,,,,,,,,,,,,
Left,P3,15,4,129.32,2.02,N/A,5.32,N/A,,,,,,,,,,,,,
Left,P3,15,4,126.25,2.06,N/A,5.69,N/A,,,,,,,,,,,,,
Left,P3,15,4,124.89,2.09,N/A,5.55,N/A,,,,,,,,,,,,,
Left,P3,15,4,125.96,2.04,N/A,7.04,N/A,,,,,,,,,,,,,
Left,P3,30,1,127.15,5.46,N/A,N/A,-12.87,,,,,,,,,,,,,
Left,P3,30,1,135.95,N/A,-3.49,1.06,-3.77,,,,,,,,,,,,,
Left,P3,30,1,136.44,N/A,-10.62,10.00,N/A,,,,,,,,,,,,,
Left,P3,30,1,136.80,N/A,-10.12,12.36,N/A,,,,,,,,,,,,,
Left,P3,30,1,139.03,N/A,-10.90,12.20,N/A,,,,,,,,,,,,,
Left,P3,30,1,118.94,18.18,N/A,N/A,-5.18,,,,,,,,,,,,,
Left,P3,30,1,123.57,16.91,N/A,N/A,-8.14,,,,,,,,,,,,,
Left,P3,30,1,118.98,16.77,N/A,N/A,-8.12,,,,,,,,,,,,,
Left,P3,30,1,122.35,15.03,N/A,N/A,-9.28,,,,,,,,,,,,,
Left,P3,30,1,127.36,14.31,N/A,N/A,-7.22,,,,,,,,,,,,,
Left,P3,30,1,112.31,1.52,N/A,N/A,-12.13,,,,,,,,,,,,,
Left,P3,30,1,109.08,0.40,-4.53,N/A,-9.47,,,,,,,,,,,,,
Left,P3,30,1,111.32,0.03,-3.53,N/A,-8.42,,,,,,,,,,,,,
Left,P3,30,1,109.19,1.11,-1.23,N/A,-9.46,,,,,,,,,,,,,
Left,P3,30,1,114.50,N/A,-2.93,N/A,-10.99,,,,,,,,,,,,,
Left,P3,30,1,116.67,15.94,N/A,N/A,-17.23,,,,,,,,,,,,,
Left,P3,30,1,119.70,14.68,N/A,N/A,-16.72,,,,,,,,,,,,,
Left,P3,30,1,121.89,14.97,N/A,N/A,-17.32,,,,,,,,,,,,,
Left,P3,30,1,121.70,14.71,N/A,N/A,-16.65,,,,,,,,,,,,,
Left,P3,30,1,124.19,13.74,N/A,N/A,-16.34,,,,,,,,,,,,,
Left,P3,30,1,90.60,11.56,N/A,N/A,-3.13,,,,,,,,,,,,,
Left,P3,30,1,85.89,9.14,N/A,N/A,-3.72,,,,,,,,,,,,,
Left,P3,30,1,90.68,11.20,N/A,0.18,-2.32,,,,,,,,,,,,,
Left,P3,30,1,86.78,10.38,N/A,0.78,-1.16,,,,,,,,,,,,,
Left,P3,30,1,86.91,10.33,N/A,0.95,-0.84,,,,,,,,,,,,,
Left,P3,30,1,151.68,2.13,-3.33,17.14,N/A,,,,,,,,,,,,,
Left,P3,30,1,152.89,3.00,-0.20,19.94,N/A,,,,,,,,,,,,,
Left,P3,30,1,151.82,2.55,-0.06,19.96,N/A,,,,,,,,,,,,,
Left,P3,30,1,152.26,3.57,N/A,19.52,N/A,,,,,,,,,,,,,
Left,P3,30,1,152.62,2.66,N/A,18.54,N/A,,,,,,,,,,,,,
Left,P3,30,1,107.17,1.46,N/A,N/A,-3.11,,,,,,,,,,,,,
Left,P3,30,1,111.24,N/A,-2.42,1.43,-3.41,,,,,,,,,,,,,
Left,P3,30,1,106.91,1.86,N/A,N/A,-4.50,,,,,,,,,,,,,
Left,P3,30,1,108.22,N/A,-2.18,N/A,-4.17,,,,,,,,,,,,,
Left,P3,30,1,110.38,0.57,-0.18,N/A,-2.84,,,,,,,,,,,,,
Left,P3,30,1,124.69,N/A,-1.83,4.61,N/A,,,,,,,,,,,,,
Left,P3,30,1,127.78,N/A,-3.94,7.89,N/A,,,,,,,,,,,,,
Left,P3,30,1,130.08,N/A,-4.83,7.58,N/A,,,,,,,,,,,,,
Left,P3,30,1,131.88,N/A,-4.65,8.15,N/A,,,,,,,,,,,,,
Left,P3,30,1,130.63,N/A,-5.15,9.35,N/A,,,,,,,,,,,,,
Left,P3,30,1,110.74,5.33,N/A,1.86,N/A,,,,,,,,,,,,,
Left,P3,30,1,113.40,5.53,N/A,2.55,N/A,,,,,,,,,,,,,
Left,P3,30,1,116.87,3.57,N/A,4.56,N/A,,,,,,,,,,,,,
Left,P3,30,1,116.94,3.70,N/A,3.14,N/A,,,,,,,,,,,,,
Left,P3,30,1,115.55,4.57,N/A,3.05,N/A,,,,,,,,,,,,,
Left,P3,30,2,94.46,N/A,-12.33,N/A,-13.56,,,,,,,,,,,,,
Left,P3,30,2,88.96,N/A,-17.55,N/A,-11.69,,,,,,,,,,,,,
Left,P3,30,2,80.97,N/A,-17.35,N/A,-14.68,,,,,,,,,,,,,
Left,P3,30,2,90.01,N/A,-13.84,N/A,-10.58,,,,,,,,,,,,,
Left,P3,30,2,90.28,N/A,-19.09,N/A,-12.03,,,,,,,,,,,,,
Left,P3,30,2,98.16,4.11,N/A,N/A,-7.56,,,,,,,,,,,,,
Left,P3,30,2,100.59,3.32,N/A,N/A,-9.23,,,,,,,,,,,,,
Left,P3,30,2,98.03,1.53,-0.12,N/A,-7.37,,,,,,,,,,,,,
Left,P3,30,2,96.05,4.04,-0.39,N/A,-6.46,,,,,,,,,,,,,
Left,P3,30,2,100.18,6.56,N/A,N/A,-10.07,,,,,,,,,,,,,
Left,P3,30,2,113.85,N/A,-1.59,N/A,-9.11,,,,,,,,,,,,,
Left,P3,30,2,112.93,N/A,-5.03,N/A,-12.44,,,,,,,,,,,,,
Left,P3,30,2,114.60,N/A,-6.95,N/A,-16.50,,,,,,,,,,,,,
Left,P3,30,2,104.62,N/A,-6.28,N/A,-14.65,,,,,,,,,,,,,
Left,P3,30,2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P3,30,2,112.30,13.45,N/A,N/A,-17.64,,,,,,,,,,,,,
Left,P3,30,2,108.37,11.67,N/A,N/A,-15.07,,,,,,,,,,,,,
Left,P3,30,2,107.94,10.54,N/A,N/A,-11.89,,,,,,,,,,,,,
Left,P3,30,2,125.93,13.00,N/A,N/A,-19.66,,,,,,,,,,,,,
Left,P3,30,2,109.77,11.66,N/A,N/A,-15.09,,,,,,,,,,,,,
Left,P3,30,2,68.64,N/A,-5.38,0.35,-3.21,,,,,,,,,,,,,
Left,P3,30,2,77.86,N/A,-8.70,N/A,-2.99,,,,,,,,,,,,,
Left,P3,30,2,79.10,N/A,-8.20,0.00,-1.81,,,,,,,,,,,,,
Left,P3,30,2,80.07,N/A,-6.62,1.56,-0.46,,,,,,,,,,,,,
Left,P3,30,2,80.66,N/A,-4.17,1.73,-0.13,,,,,,,,,,,,,
Left,P3,30,2,107.90,N/A,-11.77,0.23,-3.14,,,,,,,,,,,,,
Left,P3,30,2,107.96,N/A,-16.03,1.20,-1.75,,,,,,,,,,,,,
Left,P3,30,2,132.32,N/A,-15.83,3.90,N/A,,,,,,,,,,,,,
Left,P3,30,2,142.72,N/A,-16.13,7.46,N/A,,,,,,,,,,,,,
Left,P3,30,2,141.79,N/A,-18.45,5.89,N/A,,,,,,,,,,,,,
Left,P3,30,2,84.01,N/A,-10.59,N/A,-4.26,,,,,,,,,,,,,
Left,P3,30,2,89.61,N/A,-11.50,1.78,-2.72,,,,,,,,,,,,,
Left,P3,30,2,86.19,N/A,-10.05,2.42,-3.54,,,,,,,,,,,,,
Left,P3,30,2,92.85,N/A,-9.36,3.30,-2.41,,,,,,,,,,,,,
Left,P3,30,2,88.97,N/A,-13.19,3.36,-2.03,,,,,,,,,,,,,
Left,P3,30,2,109.37,N/A,-3.82,N/A,-4.78,,,,,,,,,,,,,
Left,P3,30,2,105.67,N/A,-5.35,N/A,-8.01,,,,,,,,,,,,,
Left,P3,30,2,103.69,N/A,-5.41,N/A,-9.13,,,,,,,,,,,,,
Left,P3,30,2,132.12,N/A,-9.55,N/A,-2.63,,,,,,,,,,,,,
Left,P3,30,2,108.89,N/A,-6.85,N/A,-8.87,,,,,,,,,,,,,
Left,P3,30,2,96.12,N/A,-7.45,0.53,-1.41,,,,,,,,,,,,,
Left,P3,30,2,93.75,N/A,-4.57,N/A,-2.51,,,,,,,,,,,,,
Left,P3,30,2,93.56,N/A,-6.43,N/A,-2.77,,,,,,,,,,,,,
Left,P3,30,2,92.99,N/A,-6.51,N/A,-3.13,,,,,,,,,,,,,
Left,P3,30,2,92.03,N/A,-7.80,N/A,-3.44,,,,,,,,,,,,,
Left,P3,30,3,81.57,N/A,-12.95,N/A,-6.83,,,,,,,,,,,,,
Left,P3,30,3,130.24,N/A,-7.32,N/A,-4.71,,,,,,,,,,,,,
Left,P3,30,3,88.08,N/A,-17.38,0.97,-1.76,,,,,,,,,,,,,
Left,P3,30,3,89.21,N/A,-21.07,2.54,-2.75,,,,,,,,,,,,,
Left,P3,30,3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P3,30,3,102.90,8.24,N/A,N/A,-11.90,,,,,,,,,,,,,
Left,P3,30,3,102.46,10.76,N/A,N/A,-10.55,,,,,,,,,,,,,
Left,P3,30,3,102.95,12.07,N/A,N/A,-8.26,,,,,,,,,,,,,
Left,P3,30,3,97.70,13.64,N/A,N/A,-7.07,,,,,,,,,,,,,
Left,P3,30,3,99.27,15.64,N/A,N/A,-7.18,,,,,,,,,,,,,
Left,P3,30,3,107.05,1.78,-0.99,N/A,-7.92,,,,,,,,,,,,,
Left,P3,30,3,106.86,1.62,-0.06,N/A,-10.68,,,,,,,,,,,,,
Left,P3,30,3,109.09,0.85,-2.60,N/A,-12.32,,,,,,,,,,,,,
Left,P3,30,3,104.18,0.62,-2.24,N/A,-11.72,,,,,,,,,,,,,
Left,P3,30,3,105.95,0.44,-1.31,N/A,-11.75,,,,,,,,,,,,,
Left,P3,30,3,99.32,11.65,N/A,N/A,-11.14,,,,,,,,,,,,,
Left,P3,30,3,108.12,11.00,N/A,N/A,-14.51,,,,,,,,,,,,,
Left,P3,30,3,96.74,6.89,N/A,N/A,-10.74,,,,,,,,,,,,,
Left,P3,30,3,98.93,7.81,N/A,N/A,-12.06,,,,,,,,,,,,,
Left,P3,30,3,102.79,10.20,N/A,N/A,-14.40,,,,,,,,,,,,,
Left,P3,30,3,78.56,4.15,-0.24,3.61,N/A,,,,,,,,,,,,,
Left,P3,30,3,74.33,1.64,N/A,5.20,N/A,,,,,,,,,,,,,
Left,P3,30,3,79.50,5.18,N/A,4.34,N/A,,,,,,,,,,,,,
Left,P3,30,3,80.52,3.89,N/A,5.08,N/A,,,,,,,,,,,,,
Left,P3,30,3,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Left,P3,30,3,101.69,N/A,-8.86,N/A,-1.59,,,,,,,,,,,,,
Left,P3,30,3,97.14,N/A,-15.45,N/A,-3.94,,,,,,,,,,,,,
Left,P3,30,3,96.89,N/A,-9.57,N/A,-4.53,,,,,,,,,,,,,
Left,P3,30,3,95.56,N/A,-9.91,N/A,-1.97,,,,,,,,,,,,,
Left,P3,30,3,100.79,N/A,-5.67,N/A,-4.68,,,,,,,,,,,,,
Left,P3,30,3,88.92,N/A,-4.88,N/A,-15.06,,,,,,,,,,,,,
Left,P3,30,3,89.92,N/A,-8.43,N/A,-15.54,,,,,,,,,,,,,
Left,P3,30,3,83.00,N/A,-16.89,N/A,-9.41,,,,,,,,,,,,,
Left,P3,30,3,84.99,N/A,-14.63,N/A,-5.77,,,,,,,,,,,,,
Left,P3,30,3,91.26,N/A,-10.00,N/A,-8.82,,,,,,,,,,,,,
Left,P3,30,3,101.55,N/A,-5.61,N/A,-0.82,,,,,,,,,,,,,
Left,P3,30,3,102.33,N/A,-4.39,0.80,N/A,,,,,,,,,,,,,
Left,P3,30,3,104.77,N/A,-4.12,0.58,N/A,,,,,,,,,,,,,
Left,P3,30,3,108.90,N/A,-4.59,0.24,-0.09,,,,,,,,,,,,,
Left,P3,30,3,111.50,N/A,-4.36,2.49,N/A,,,,,,,,,,,,,
Left,P3,30,3,97.40,0.96,-4.22,2.86,N/A,,,,,,,,,,,,,
